REF_AREA_LABEL,REF_AREA,TIME_PERIOD,crime_rank,UNIT_MEASURE,poverty,UNIT_MEASURE_LABEL_x,SEX,unemployment,UNIT_MEASURE_LABEL_y,COMP_BREAKDOWN_1
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,1.906,Percentage,EADV
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,F,14.147,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,M,11.956,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,12.799,Percentage,EBAS
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,F,2.987,Percentage,EINT
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,M,3.672,Percentage,EINT
Bulgaria,BGR,2019,111,RANK,23.8,Percentage of population,_T,3.388,Percentage,EINT
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,2.22,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,2.451,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,_T,2.315,Percentage,EADV
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,15.663,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,14.592,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,_T,14.998,Percentage,EBAS
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,F,4.141,Percentage,EINT
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,M,4.763,Percentage,EINT
Bulgaria,BGR,2018,116,RANK,22.6,Percentage of population,_T,4.506,Percentage,EINT
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,F,2.863,Percentage,EADV
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,M,3.277,Percentage,EADV
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,_T,3.032,Percentage,EADV
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,F,19.863,Percentage,EBAS
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,M,16.074,Percentage,EBAS
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,_T,17.546,Percentage,EBAS
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,F,5.268,Percentage,EINT
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,M,5.255,Percentage,EINT
Bulgaria,BGR,2017,117,RANK,22.0,Percentage of population,_T,5.26,Percentage,EINT
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,F,6.27,Percentage,EADV
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,M,4.358,Percentage,EADV
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,_T,5.286,Percentage,EADV
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,F,3.169,Percentage,EBAS
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,M,2.746,Percentage,EBAS
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,_T,2.913,Percentage,EBAS
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,F,6.252,Percentage,EINT
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,M,4.496,Percentage,EINT
Bolivia,BOL,2019,84,RANK,37.2,Percentage of population,_T,5.163,Percentage,EINT
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,F,6.529,Percentage,EADV
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,M,5.486,Percentage,EADV
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,_T,5.993,Percentage,EADV
Bolivia,BOL,2018,62,RANK,39.9,Percentage of population,F,2.427,Percentage,EBAS
