REF_AREA_LABEL,REF_AREA,TIME_PERIOD,OBS_VALUE_x,UNIT_MEASURE,OBS_VALUE_y,UNIT_MEASURE_LABEL_x,SEX,UNIT_MEASURE_LABEL_y,MEAN_OBS_OF_ALL_LEVEL_OF_KNOWLEDGE
Slovak Republic,SVK,2018,74.0,RANK,11.9,Percentage of population,_T,Percentage,13.434444444444445
Slovak Republic,SVK,2017,63.0,RANK,12.2,Percentage of population,_T,Percentage,13.434444444444445
Slovenia,SVN,2019,29.0,RANK,12.4,Percentage of population,_T,Percentage,6.391333333333333
Slovenia,SVN,2018,28.0,RANK,12.0,Percentage of population,_T,Percentage,6.391333333333333
Slovenia,SVN,2017,35.0,RANK,13.3,Percentage of population,_T,Percentage,6.391333333333333
Sweden,SWE,2019,41.0,RANK,16.1,Percentage of population,_T,Percentage,9.340444444444445
Sweden,SWE,2018,37.0,RANK,17.1,Percentage of population,_T,Percentage,9.340444444444445
Sweden,SWE,2017,23.0,RANK,16.4,Percentage of population,_T,Percentage,9.340444444444445
Seychelles,SYC,2018,68.0,RANK,25.3,Percentage of population,_T,Percentage,3.350142857142857
Chad,TCD,2018,128.0,RANK,42.3,Percentage of population,_T,Percentage,4.035333333333333
Thailand,THA,2019,95.0,RANK,6.2,Percentage of population,_T,Percentage,1.1046666666666667
Thailand,THA,2018,99.0,RANK,9.9,Percentage of population,_T,Percentage,1.1046666666666667
Thailand,THA,2017,95.0,RANK,7.9,Percentage of population,_T,Percentage,1.1046666666666667
Uganda,UGA,2019,109.0,RANK,20.3,Percentage of population,_T,Percentage,4.825166666666667
Ukraine,UKR,2019,110.0,RANK,23.1,Percentage of population,_T,Percentage,9.04
Ukraine,UKR,2018,111.0,RANK,27.6,Percentage of population,_T,Percentage,9.04
Ukraine,UKR,2017,112.0,RANK,34.9,Percentage of population,_T,Percentage,9.04
Zimbabwe,ZWE,2019,58.0,RANK,38.3,Percentage of population,_T,Percentage,7.082000000000001
Zimbabwe,ZWE,2017,39.0,RANK,30.4,Percentage of population,_T,Percentage,7.082000000000001
